$ sudo ./detect_tls.py
Starting to trace...
PID    COMM         LIB        LOCAL                    REMOTE                  
7739   curl         OpenSSL    192.168.1.210:38906      185.199.108.153:443     
7739   curl         OpenSSL    192.168.1.210:38906      185.199.108.153:443     
7739   curl         OpenSSL    192.168.1.210:38906      185.199.108.153:443     
7739   curl         OpenSSL    192.168.1.210:38906      185.199.108.153:443     
7739   curl         OpenSSL    192.168.1.210:38906      185.199.108.153:443     
7739   curl         OpenSSL    192.168.1.210:38906      185.199.108.153:443     
7739   curl         OpenSSL    192.168.1.210:38906      185.199.108.153:443     
7739   curl         OpenSSL    192.168.1.210:38906      185.199.108.153:443     
7739   curl         OpenSSL    192.168.1.210:38906      185.199.108.153:443     
7739   curl         OpenSSL    192.168.1.210:38906      185.199.108.153:443     
7739   curl         OpenSSL    192.168.1.210:38906      185.199.108.153:443     
7739   curl         OpenSSL    192.168.1.210:38906      185.199.108.153:443     
7739   curl         OpenSSL    192.168.1.210:38906      185.199.108.153:443     
7739   curl         OpenSSL    192.168.1.210:38906      185.199.108.153:443     
7739   curl         OpenSSL    192.168.1.210:38906      185.199.108.153:443     
7739   curl         OpenSSL    192.168.1.210:38906      185.199.108.153:443     
7739   curl         OpenSSL    192.168.1.210:38906      185.199.108.153:443     
7755   gcurl        GnuTLS     192.168.1.210:45284      104.22.26.77:443        
7755   gcurl        GnuTLS     192.168.1.210:45284      104.22.26.77:443        
7755   gcurl        GnuTLS     192.168.1.210:45284      104.22.26.77:443        
7755   gcurl        GnuTLS     192.168.1.210:45284      104.22.26.77:443        
7755   gcurl        GnuTLS     192.168.1.210:45284      104.22.26.77:443        
7755   gcurl        GnuTLS     192.168.1.210:45284      104.22.26.77:443        
979    snapd        Other      192.168.1.210:46778      91.189.92.41:443        
979    snapd        Other      192.168.1.210:46778      91.189.92.41:443        
979    snapd        Other      192.168.1.210:46780      91.189.92.41:443        
979    snapd        Other      192.168.1.210:46780      91.189.92.41:443        
979    snapd        Other      192.168.1.210:46778      91.189.92.41:443        
979    snapd        Other      192.168.1.210:46778      91.189.92.41:443        
979    snapd        Other      192.168.1.210:46778      91.189.92.41:443        
979    snapd        Other      192.168.1.210:46778      91.189.92.41:443        
979    snapd        Other      192.168.1.210:46778      91.189.92.41:443        
979    snapd        Other      192.168.1.210:46778      91.189.92.41:443        
979    snapd        Other      192.168.1.210:46778      91.189.92.41:443        
979    snapd        Other      192.168.1.210:46778      91.189.92.41:443        
979    snapd        Other      192.168.1.210:46780      91.189.92.41:443        
